profile_name,age,monthly_income,monthly_savings,investment_goal,target_years,risk_appetite,goal_amount,notes
Young Professional,27,75000,15000,wealth,15,high,5000000,Early career high-earner maximising compounding window
Conservative Saver,45,120000,25000,retirement,20,low,20000000,Mid-career professional prioritising capital safety
Balanced Family,35,150000,30000,home,7,medium,8000000,Dual-income household saving for primary residence
Education Planner,40,100000,20000,education,8,medium,3000000,Parent building corpus for child's higher education
Near-Retiree,58,200000,50000,retirement,7,low,30000000,Late-career professional with short runway to retirement
Aggressive Investor,30,200000,60000,wealth,20,high,50000000,High-income earner with strong risk appetite
Emergency Builder,25,50000,10000,emergency,2,low,600000,First-job professional building 6-month emergency fund
Mid-Career Switcher,38,130000,22000,wealth,12,medium,15000000,Career-changer rebuilding financial trajectory
Home Upgrader,42,175000,40000,home,5,medium,12000000,Existing homeowner targeting larger property
Retirement Optimizer,50,250000,75000,retirement,10,medium,40000000,Senior professional accelerating retirement corpus
